time_second,fps,fish_count
1,30.5,200
2,60,220
3,59,240
4,60,260
5,59,280
6,59,300
7,60,320
8,59,340
9,59,360
10,60,380
11,59,400
12,60,420
13,59,440
14,59,460
15,60,480
16,59,500
17,60,520
18,59,540
19,60,560
20,60,580
21,59,600
22,60,620
23,60,640
24,59,660
25,60,680
26,60,700
27,60,720
28,59,740
29,60,760
30,56,780
31,53,800
32,52,820
33,48,840
34,45,860
35,43,880
36,41,900
37,39,920
38,38,940
39,35,960
40,34,980
41,30,1000
42,31,1020
43,30,1040
44,30,1060
45,28,1080
46,26,1100
47,26,1120
48,25,1140
49,24,1160
50,23,1180
51,22,1200
52,22,1220
53,21,1240
54,21,1260
55,20,1280
56,20,1300
57,19,1320
58,18,1340
59,17,1360
60,17,1380
